tethered	deleted
6.1025	9.2758
30.962	13.377
23.644	4.2379
17.142	23.894
18.593	32.234
39.401	34.092
31.379	31.306
45.712	49.996
45.453	28.524
17.208	10.516
19.264	11.419
20.362	32.907
7.5794	22.187
12.937	7.622
13.48	4.6383
10.282	19.487
12.043	13.837
8.863	18.474
42.484	21.861
37.689	26.813
27.455	8.8501
24.68	22.503
26.816	10.807
37.049	11.912
31.021	23.721
12.929	17.617
38.011	18.437
44.782	19.237
38.253	12.812
20.694	29.434
23.839	37.723
23.513	43.405
35.861	44.497
32.642	41.303
22.329	38.495
27.073	27.513
18.247	10.445
8.7001	43.013
29.532	36.088
12.543	24.532
18.658	27.168
26.058	9.6104
37.341	20.355
22.787	48.06
11.103	30.717
15.009	21.497
24.2	20.857
19.184	22.709
40.461	18.641
24.844	22.002
40.844	18.134
23.354	26.767
26.289	42.608
25.869	43.098
14.915	22.001
31.378	53.273
12.865	9.7048
30.97	17.645
9.0524	17.52
14.55	26.41
4.3803	34.884
33.04	17.983
15.906	6.1803
29.036	16.715
20.736	23.69
15.89	40.792
34.842	41.505
23.342	40.732
12.032	28.131
18.402	26.851
15.641	49.549
18.616	54.007
33.184	12.833
25.209	30.181
9.2559	29.914
7.3853	30.317
11.849	33.247
32.377	23.373
31.831	33.373
21.709	8.9848
19.707	16.213
23.479	16.225
26.305	8.4593
17.749	20.488
13.387	32.507
22.273	31.32
15.112	11.622
38.281	21.004
25.24	14.176
31.558	39.235
27.296	30.464
25.187	11.974
37.695	26.402
24.872	23.007
41.846	39.097
39.251	40.377
20.913	35.885
25.448	22.149
0.68432	17.071
30.821	22.767
24.014	17.895
24.055	33.98
6.9048	29.028
23.818	7.0418
21.464	49.036
40.764	35.603
65.242	51.546
34.284	59.816
22.136	75.227
35.393	63.966
23.965	28.284
27.259	12.263
32.45	9.9627
28.66	10.842
15.081	26.728
5.6461	26.063
8.7944	11.05
38.584	8.4228
44.692	8.1393
27.824	28.862
53.647	25.144
12.108	35.75
27.136	12.797
